layer,official_ts,trained_ts,official_file,trained_file,off_acc,tr_acc,delta_acc,off_acclen,tr_acclen,delta_acclen,off_p4,tr_p4,delta_p4,off_out_toks,tr_out_toks,delta_out_toks,delta_out_pct,off_tpot,tr_tpot,delta_tpot
layer1_actual,20260730_085313,20260730_100414,26b_e011_mtp_layer1_actual_online_20260730_085313.txt,26b_e011_mtp_layer1_actual_online_20260730_100414.txt,77.06,75.87,-1.19,4.85,4.79,-0.06,65.91,65.30,-0.61,2909.47,2910.01,+0.54,+0.02%,38.55,39.19,+0.64
layer1_delta,20260730_085528,20260730_100628,26b_e011_mtp_layer1_delta_online_20260730_085528.txt,26b_e011_mtp_layer1_delta_online_20260730_100628.txt,65.52,72.68,+7.16,4.28,4.63,+0.35,46.43,57.73,+11.30,1247.96,1207.93,-40.03,-3.21%,107.62,92.65,-14.97
layer1_intent,20260730_090020,20260730_101138,26b_e011_mtp_layer1_intent_online_20260730_090020.txt,26b_e011_mtp_layer1_intent_online_20260730_101138.txt,58.60,59.35,+0.75,3.93,3.97,+0.04,42.18,44.16,+1.98,2357.33,2363.82,+6.49,+0.28%,47.77,47.64,-0.13
layer2_coarse_interest,20260730_090210,20260730_101327,26b_e011_mtp_layer2_coarse_interest_online_20260730_090210.txt,26b_e011_mtp_layer2_coarse_interest_online_20260730_101327.txt,57.54,59.42,+1.88,3.88,3.97,+0.09,41.65,44.69,+3.04,2108.50,2174.55,+66.05,+3.13%,61.32,58.60,-2.72
layer2_temporal,20260730_090829,20260730_101928,26b_e011_mtp_layer2_temporal_online_20260730_090829.txt,26b_e011_mtp_layer2_temporal_online_20260730_101928.txt,52.68,55.17,+2.49,3.63,3.76,+0.13,33.96,38.30,+4.34,2107.14,2121.34,+14.20,+0.67%,57.07,55.09,-1.98
layer3_commercial_interests,20260730_091052,20260730_102151,26b_e011_mtp_layer3_commercial_interests_online_20260730_091052.txt,26b_e011_mtp_layer3_commercial_interests_online_20260730_102151.txt,81.49,84.99,+3.50,5.07,5.25,+0.18,69.05,76.40,+7.35,2322.58,2347.10,+24.52,+1.06%,54.17,52.86,-1.31
layer3_persona,20260730_092036,20260730_103135,26b_e011_mtp_layer3_persona_online_20260730_092036.txt,26b_e011_mtp_layer3_persona_online_20260730_103135.txt,53.88,49.48,-4.40,3.69,3.47,-0.22,36.27,32.21,-4.06,1913.77,1904.42,-9.35,-0.49%,61.31,62.78,+1.47
layer3_seasonality,20260730_092957,20260730_104101,26b_e011_mtp_layer3_seasonality_online_20260730_092957.txt,26b_e011_mtp_layer3_seasonality_online_20260730_104101.txt,99.03,99.03,+0.00,5.95,5.95,+0.00,97.66,98.10,+0.44,5724.42,5746.09,+21.67,+0.38%,20.87,20.88,+0.01
layer4_biography,20260730_093329,20260730_104433,26b_e011_mtp_layer4_biography_online_20260730_093329.txt,26b_e011_mtp_layer4_biography_online_20260730_104433.txt,36.01,37.55,+1.54,2.80,2.88,+0.08,10.00,15.27,+5.27,230.74,230.80,+0.06,+0.03%,454.35,444.41,-9.94
layer4_commercial_preference,20260730_094010,20260730_105112,26b_e011_mtp_layer4_commercial_preference_online_20260730_094010.txt,26b_e011_mtp_layer4_commercial_preference_online_20260730_105112.txt,68.91,76.69,+7.78,4.45,4.83,+0.38,54.80,66.20,+11.40,2572.43,2698.32,+125.89,+4.89%,47.09,44.22,-2.87
